ID,Expression
MAR04379,137.57832669
MAR04391_f,45.60047655
MAR04477_f,61.13841672
MAR04501_f,137.54454854
MAR04565_f,43.87779188
MAR04375_r,176.82851464
MAR04381_r,40.39864441
MAR04352_r,47.39071748
MAR04404_r,137.54454854
temporary_exchange_MAM01285c_f,-1.0
temporary_exchange_MAM01285c_r,-1.0
temporary_exchange_MAM01968c,-1.0
temporary_exchange_MAM02554c,-1.0
temporary_exchange_MAM02040c,-1.0
temporary_exchange_MAM01371c,-1.0
temporary_exchange_MAM02039c,-1.0
temporary_exchange_MAM02555c,-1.0
temporary_exchange_MAM01596c,-1.0
temporary_exchange_MAM01939c,-1.0
temporary_exchange_MAM01785c,-1.0
